,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,em_iter,inside,num_points
0,poly4_52551.uai,20,0.8503020753539491,0.8503020753539491,0.14969792464605086,0.14969792464605086,0.06879999999999999,0.9688,0.0312,0.9312,0.8503020753539491,0.8503020753539491,0.14969792464605086,0.14969792464605086,13.0,1.0,1.0
1,poly4_52551.uai,20,0.8503020753539491,0.8761762752642196,0.12382372473578043,0.14969792464605086,0.06879999999999999,0.9688,0.0312,0.9312,0.8503020753539491,0.8761762752642195,0.12382372473578038,0.14969792464605086,17.0,1.0,2.0
2,poly4_52551.uai,20,0.13201522660336695,0.8761762752642196,0.12382372473578043,0.867984773396633,0.06879999999999999,0.9688,0.0312,0.9312,0.13201522660336695,0.8761762752642195,0.12382372473578038,0.867984773396633,14.0,1.0,3.0
3,poly4_52551.uai,20,0.13201522660336695,0.8761762752642196,0.12382372473578043,0.867984773396633,0.06879999999999999,0.9688,0.0312,0.9312,0.13201522660336695,0.8761762752642195,0.12382372473578038,0.867984773396633,16.0,1.0,4.0
4,poly4_52551.uai,20,0.13201522660336695,0.8761762752642196,0.12382372473578043,0.867984773396633,0.06879999999999999,0.9688,0.0312,0.9312,0.13201522660336695,0.8761762752642195,0.12382372473578038,0.867984773396633,13.0,1.0,5.0
5,poly4_52551.uai,20,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,16.0,1.0,6.0
6,poly4_52551.uai,20,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,2.0,1.0,7.0
7,poly4_52551.uai,20,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,8.0,1.0,8.0
8,poly4_52551.uai,20,0.10716597748163027,0.8761762752642196,0.12382372473578043,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.8761762752642195,0.12382372473578038,0.8928340225183697,12.0,1.0,9.0
9,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,18.0,1.0,10.0
10,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,15.0,1.0,11.0
11,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,15.0,1.0,12.0
12,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,17.0,1.0,13.0
13,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,15.0,1.0,14.0
14,poly4_52551.uai,20,0.10716597748163027,0.9274094039665232,0.07259059603347681,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9274094039665233,0.07259059603347676,0.8928340225183697,11.0,1.0,15.0
15,poly4_52551.uai,20,0.10716597748163027,0.9507550857972613,0.049244914202738695,0.8928340225183697,0.06879999999999999,0.9688,0.0312,0.9312,0.10716597748163031,0.9507550857972612,0.04924491420273867,0.8928340225183697,18.0,1.0,16.0
16,poly4_52551.uai,20,0.07286560926615632,0.9507550857972613,0.049244914202738695,0.9271343907338437,0.06879999999999999,0.9688,0.0312,0.9312,0.07286560926615639,0.9507550857972612,0.04924491420273867,0.9271343907338435,16.0,1.0,17.0
